model,result,dimension,bucket,samples,C-Acc,EtF1,tIoU
MCG-NJU/TimeLens2-4B,paper-2fps-official,dispersion,25–60%,137,0.7299270072992701,0.48661800486617995,37.888054221892716
MCG-NJU/TimeLens2-4B,paper-2fps-official,dispersion,<25%,44,0.0,0.0,45.405695100027415
MCG-NJU/TimeLens2-4B,paper-2fps-official,dispersion,≥60%,139,0.0,0.0,30.64772851130962
MCG-NJU/TimeLens2-4B,paper-2fps-official,duration,120–300s,157,0.0,0.0,39.4529139377183
MCG-NJU/TimeLens2-4B,paper-2fps-official,duration,>300s,65,0.0,0.0,22.023649133772874
MCG-NJU/TimeLens2-4B,paper-2fps-official,duration,≤120s,98,1.0204081632653061,0.6802721088435373,39.00922034648505
MCG-NJU/TimeLens2-4B,paper-2fps-official,evidence_density,10–30%,149,0.0,0.0,34.101362266174945
MCG-NJU/TimeLens2-4B,paper-2fps-official,evidence_density,<10%,78,1.2820512820512822,0.8547008547008546,27.48519871367909
MCG-NJU/TimeLens2-4B,paper-2fps-official,evidence_density,≥30%,93,0.0,0.0,45.415051597263535
MCG-NJU/TimeLens2-4B,paper-2fps-official,median_span,5–15s,132,0.0,0.0,33.56116525595645
MCG-NJU/TimeLens2-4B,paper-2fps-official,median_span,>15s,94,0.0,0.0,46.27264460419517
MCG-NJU/TimeLens2-4B,paper-2fps-official,median_span,≤5s,94,1.0638297872340425,0.7092198581560283,28.39197733289306
MCG-NJU/TimeLens2-4B,paper-2fps-official,span_count,2–3,199,0.5025125628140703,0.3350083752093802,41.486278508632346
MCG-NJU/TimeLens2-4B,paper-2fps-official,span_count,4–5,73,0.0,0.0,27.427562785436287
MCG-NJU/TimeLens2-4B,paper-2fps-official,span_count,≥6,48,0.0,0.0,24.803474360788744
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,dispersion,25–60%,137,23.357664233576642,17.457420924574212,51.27471102497105
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,dispersion,<25%,44,22.727272727272727,15.530303030303031,50.32247242560034
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,dispersion,≥60%,139,25.899280575539567,18.83892885691447,49.32029242358311
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,duration,120–300s,157,28.02547770700637,23.296178343949045,56.10982895741071
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,duration,>300s,65,10.76923076923077,2.948717948717948,34.74048173532549
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,duration,≤120s,98,27.551020408163264,18.820861678004533,51.29561617261084
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,evidence_density,10–30%,149,24.83221476510067,19.01938851603281,50.1928679830691
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,evidence_density,<10%,78,21.794871794871796,10.185185185185182,34.67515016422046
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,evidence_density,≥30%,93,25.806451612903224,22.20728793309438,63.55855700794631
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,median_span,5–15s,132,19.696969696969695,14.471801346801348,46.53256664331494
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,median_span,>15s,94,32.97872340425532,28.309692671394803,66.2940366356917
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,median_span,≤5s,94,22.340425531914892,11.93853427895981,39.578793652690514
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,span_count,2–3,199,31.65829145728643,23.4785036292574,53.60045524969175
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,span_count,4–5,73,15.068493150684931,10.319634703196348,46.81382487747195
MCG-NJU/TimeLens2-4B,paper-2fps-controlled,span_count,≥6,48,8.333333333333334,5.5844907407407405,41.88427152669566
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-official,dispersion,25–60%,137,0.7299270072992701,0.36496350364963503,30.801604526494526
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-official,dispersion,<25%,44,0.0,0.0,39.46406928713431
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-official,dispersion,≥60%,139,0.0,0.0,27.22084661940501
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-official,duration,120–300s,157,0.0,0.0,35.4933173835881
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-official,duration,>300s,65,0.0,0.0,13.503491276238208
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-official,duration,≤120s,98,1.0204081632653061,0.5102040816326531,33.568967211042256
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-official,evidence_density,10–30%,149,0.6711409395973155,0.33557046979865773,30.703982722774594
