name,comparison_class,candidate,reference,samples,synchronized_model_latency_ratio,standalone_wall_ratio,input_frame_ratio,delta_C-Acc,delta_tIoU,delta_CardinalityError,delta_tP@0.3,delta_tR@0.3,delta_tF1@0.3,delta_tP@0.5,delta_tR@0.5,delta_tF1@0.5,delta_tP@0.7,delta_tR@0.7,delta_tF1@0.7,delta_EtF1,ci95_low_C-Acc,ci95_high_C-Acc,ci95_low_tIoU,ci95_high_tIoU,ci95_low_CardinalityError,ci95_high_CardinalityError,ci95_low_tP@0.3,ci95_high_tP@0.3,ci95_low_tR@0.3,ci95_high_tR@0.3,ci95_low_tF1@0.3,ci95_high_tF1@0.3,ci95_low_tP@0.5,ci95_high_tP@0.5,ci95_low_tR@0.5,ci95_high_tR@0.5,ci95_low_tF1@0.5,ci95_high_tF1@0.5,ci95_low_tP@0.7,ci95_high_tP@0.7,ci95_low_tR@0.7,ci95_high_tR@0.7,ci95_low_tF1@0.7,ci95_high_tF1@0.7,ci95_low_EtF1,ci95_high_EtF1
timelens2-4b:controlled-vs-official-2fps,prompt-ablation,timelens2-4b/paper-2fps-controlled,timelens2-4b/paper-2fps-official,320,1.07419517866444,1.07419517866444,1.0,24.0625,14.518114275477998,-0.9562499999999998,-0.38755862193362134,21.679349296536788,17.174030422192196,-0.9267564033188904,18.269131042568542,14.142777667593855,-2.248624639249641,11.944579725829724,8.87227667144947,17.58420138888889,19.242598883766078,29.073482428115017,11.990030174695995,17.06855148101941,-1.126543209876543,-0.7969673295454546,-3.879874903739069,3.1658147006179664,18.405002347644704,25.056783462247445,14.16216556341995,20.221506576409542,-4.78279978980886,2.940838591909675,15.133473003047612,21.540505654542127,11.039636736673565,17.257234220606318,-6.019317737280194,1.5954258962510455,9.382203344659857,14.649547222696892,6.238852636400927,11.61135980495786,13.790279614932393,21.6797293445187
timelens2-4b:full-video-multipass-64f-vs-uniform-one-shot-64f,fixed-budget-schedule-ablation,timelens2-4b/full-video-multipass-64f,timelens2-4b/uniform-one-shot-64f,320,1.3482918581356937,1.247417154628779,1.0,-3.125,-4.561963760689622,0.3500000000000001,-15.36184175246676,-9.104786706349202,-10.744289068499999,-14.869791666666668,-9.8953373015873,-11.399835635855371,-11.098958333333336,-7.4138144841269815,-8.527693341015706,-3.770833333333335,-6.231016355140186,0.0,-6.103839957388381,-3.033392193098578,0.05787781350482315,0.7774468554075232,-19.85231965414892,-10.841898194576766,-12.009760783407025,-6.219733265375468,-13.887643612962803,-7.610868558874309,-19.381001356238695,-10.309549892831628,-12.892132136489549,-6.9162614603963375,-14.763374553367564,-8.0147369226276,-14.630888489874742,-7.5885106646825395,-9.621537614891912,-5.319714151003709,-11.021170442424264,-6.062567864682338,-6.049477391501932,-1.5872521386540084
timelens2-4b:uniform-window-local-64f-vs-uniform-one-shot-64f,fixed-budget-schedule-ablation,timelens2-4b/uniform-window-local-64f,timelens2-4b/uniform-one-shot-64f,320,1.1478115061280685,1.4151159249289127,1.0,22.1875,-6.528799125541859,-0.7124999999999999,-4.2698412698412795,6.6890852203352225,3.810850596986441,3.5729166666666643,7.2986033064158065,6.126754348914766,1.6562500000000036,4.428676358363861,3.565840729080861,8.027777777777779,16.825322652425456,27.61904761904762,-9.11266108743382,-3.8781582310562173,-0.8333333333333334,-0.59384375,-9.27868520930831,0.742656975329437,3.303349413955474,10.059800649197259,0.21337924573861103,7.432657892045677,-1.1376426091269842,8.301709672184357,3.9869505472695046,10.650403889808363,2.515480887063258,9.761546172784163,-2.317959401709401,5.674062878373222,1.6807358594090747,7.33569785223011,0.5652520086913371,6.691468450389677,4.980325862552712,11.269672410018838
timelens2-4b:embedding-window-local-64f-vs-uniform-one-shot-64f,fixed-budget-schedule-ablation,timelens2-4b/embedding-window-local-64f,timelens2-4b/uniform-one-shot-64f,320,1.2850366970348805,1.5408664004354717,1.0072265625,24.375,-0.8210140292683974,-0.721875,-0.33234126984127954,10.763776154401164,8.038244832652744,3.7552083333333215,8.257316468253972,6.9168806339858975,2.286458333333332,5.637152777777777,4.710897928825563,10.109375,18.808777429467085,30.153846153846153,-2.964692165934329,1.3755909586286683,-0.8459119496855346,-0.6,-5.2599795501022495,4.660386688424071,7.271609854941777,14.191306337667525,4.391365576907497,11.693640537359652,-1.0526450328274684,8.724605714792967,4.772138014163421,11.772258343508343,3.225169086719797,10.724079650083128,-1.792098323132806,6.427139372362868,2.7591917230134757,8.558033454927862,1.5871309263029316,7.908127334906087,6.794787271448664,13.575766331990659
timelens2-4b:full-video-multipass-128f-vs-uniform-one-shot-128f,fixed-budget-schedule-ablation,timelens2-4b/full-video-multipass-128f,timelens2-4b/uniform-one-shot-128f,320,1.1733190895158805,1.1187024837721378,1.0,-5.3125,-3.9921303384057936,0.3093750000000002,-11.137502254689757,-8.312748015873012,-9.201200808350578,-13.282715548340555,-9.520213293650801,-10.609839493474361,-10.566964285714285,-7.64298115079365,-8.51252566877567,-4.4513888888888875,-9.646302250803858,-1.2345679012345678,-5.700653932629862,-2.3010058242976084,0.13749533582089554,0.5603786225447901,-15.280051874759849,-7.1435476166503,-11.444730355454551,-5.332261011907564,-12.464282065377292,-6.048999987536878,-17.566012195689616,-9.136702564313325,-12.697887029549767,-6.386877858166679,-14.021757746508026,-7.272112487921898,-13.947336169577548,-7.3595713895028245,-10.175368437155239,-5.247520330793797,-11.221412962037961,-5.925929016938906,-7.470075069228106,-1.5804741200107237
timelens2-4b:uniform-window-local-128f-vs-uniform-one-shot-128f,fixed-budget-schedule-ablation,timelens2-4b/uniform-window-local-128f,timelens2-4b/uniform-one-shot-128f,320,1.0332470805705742,1.196940430563597,1.0,13.75,-8.111078263756141,-0.4937499999999999,-4.78720238095238,3.201512896825392,0.9478873379802195,-1.9002976190476204,2.0800076659451605,0.8055023644226509,-1.7180059523809454,1.750631313131315,0.6377546065046076,3.020833333333334,7.975460122699387,19.626168224299064,-10.727591075125078,-5.501934607000982,-0.6230620785519934,-0.36562334780966765,-9.382374962563643,-0.15796875533112803,-0.2925962247531654,6.66516276459013,-2.582495826273026,4.473956114579364,-6.472293797598987,2.572855597736116,-1.4566521649409947,5.690356976402301,-2.8381963065050564,4.460839219541143,-5.750035495849717,2.213596956829437,-1.2145736508954752,4.79739179781335,-2.566262716587947,3.83504779215314,-0.7918309417391982,6.897444996158881
timelens2-4b:embedding-window-local-128f-vs-uniform-one-shot-128f,fixed-budget-schedule-ablation,timelens2-4b/embedding-window-local-128f,timelens2-4b/uniform-one-shot-128f,320,1.1293097076302658,1.2819294513528858,1.0,13.125,-0.16109072107354905,-0.453125,2.904017857142861,9.527841082528582,7.72605468469439,3.046130952380949,7.026022588522579,5.773352424257034,3.2693452380952372,6.2654819139194124,5.293449834157073,6.680555555555555,7.717041800643087,18.541033434650455,-2.3860352342038684,2.084198637590137,-0.5858895705521472,-0.32256566463597347,-1.3417974178918888,7.136256909492643,6.3928329804498025,12.684285209745894,4.567389885061069,10.933010659429158,-1.4454175600865038,7.687401561810077,3.4716517239329225,10.76107432495391,2.090883227396966,9.670372620943605,-0.6680957600703927,7.205691765954228,3.214152600728955,9.344901739770883,2.110086834513629,8.502400111409955,2.823097352838733,10.493513896144936
timelens2-4b:embedding-window-local-128f-vs-64f,budget-scaling,timelens2-4b/embedding-window-local-128f,timelens2-4b/embedding-window-local-64f,320,1.4878386278095277,1.4772472375370533,1.9856505720380067,-3.125,5.643806513783204,-0.034375000000000044,9.409970238095248,7.547569617882111,7.975573494487961,9.842261904761912,8.373988858363852,8.713177036779015,8.398809523809522,7.431280525030527,7.623683836266075,2.663194444444443,-7.0287539936102235,0.9118541033434651,4.235958822566118,7.077949295699928,-0.115625,0.042682926829268296,5.874992740998839,12.8943698057053,4.950250384650947,10.231319661664555,5.245528819644263,10.781164029493905,6.220297639981318,13.489222281945912,5.631140978562738,11.24802196032109,5.802320552807754,11.716410490316662,4.9431966281663975,11.874089750312008,4.770394770263021,10.181480591936145,4.770188791833977,10.54020794977328,0.2627755731922409,5.140668537536821
timelens2-4b:full-video-multipass-128f-vs-64f,budget-scaling,timelens2-4b/full-video-multipass-128f,timelens2-4b/full-video-multipass-64f,320,1.4732977415161126,1.5924174813738605,2.0,5.9375,5.553716627872184,-0.34375,10.39795060888811,9.575543380230883,9.830851902595736,12.138415404040398,9.980406746031743,10.64670138888889,7.947916666666668,6.573784722222222,7.056299603174601,5.411458333333335,3.0864197530864197,9.036144578313253,4.1548622349107145,7.014163940150565,-0.8038095652847133,0.04576883384932895,6.520742585504568,14.342959698701703,6.860144239441114,12.365770877960315,6.855427880071109,12.758296447697072,8.275193115683727,16.21860730307459,7.263603845534314,12.858812151993765,7.622018222144485,13.853336096773596,4.849428086176482,11.187686713836476,4.542682522392823,8.760279154213201,4.75279617007465,9.496928156019065,3.476482132310468,7.526834353738154
timelens2-4b:uniform-one-shot-128f-vs-64f,budget-scaling,timelens2-4b/uniform-one-shot-128f,timelens2-4b/uniform-one-shot-64f,320,1.6930052253010708,1.775636429176918,2.0,8.125,4.983883205588356,-0.3031250000000001,6.173611111111107,8.783504689754693,8.287763642446315,10.551339285714285,9.605282738095244,9.856705246507879,7.415922619047617,6.802951388888891,7.041131930934565,6.0920138888888875,4.615384615384615,11.78343949044586,3.2603910604593977,6.713060384601772,-0.40557494596647004,-0.2,1.440936446053405,10.943330211984946,5.744524473426979,11.842597903323453,4.924544025970569,11.62183507673568,6.110103074392601,14.824975369458128,6.648314849771905,12.642750489403902,6.529609313099772,13.16393900600749,3.7031048614924837,11.07443211838511,4.431336486359769,9.17577763999368,4.2998964424646084,9.75275887314577,3.8122004967569976,8.564814814814813
timelens2-4b:uniform-window-local-128f-vs-64f,budget-scaling,timelens2-4b/uniform-window-local-128f,timelens2-4b/uniform-window-local-64f,320,1.5240243690655937,1.5018776869253254,2.0,-0.3125,3.4016040673740733,-0.08437500000000009,5.656250000000007,5.2959323662448625,5.424800383440093,5.078125,4.386687097624598,4.535453262015764,4.041666666666668,4.124906343656345,4.1130458083583115,1.0850694444444429,-3.761755485893417,3.115264797507788,2.2754305674327258,4.56389176097778,-0.15674759866570212,-0.018070932378161313,2.5930948100880618,8.760658258032127,2.8119391880206215,7.804835436215642,2.8646417289352284,8.031197368786225,2.0539578922606445,8.081819784870394,1.9337478438349265,6.865667187782254,1.9978054138933772,7.072137778669801,1.1438818703223514,6.9195742875774755,1.8175882644016514,6.4653955067676,1.6677189728127375,6.550163703604105,-0.876747532894737,3.071582313088896
timelens2-4b:embedding-64f-vs-controlled-2fps,input-policy-tradeoff,timelens2-4b/embedding-window-local-64f,timelens2-4b/paper-2fps-controlled,320,0.16425683738144678,0.27974253139645205,0.14544582798640587,11.875,-9.356130178175697,-0.19687500000000013,-11.643691378066386,-4.628258026695512,-6.292559462596223,-13.187826930014445,-7.872553661616159,-9.235761073077256,-11.605542027417027,-6.983270202020204,-8.240557695980492,0.6883680555555571,5.572755417956657,18.069203382287487,-11.870615362647658,-6.797588978837776,-0.3468782038643533,-0.043343653250773995,-16.441996227152476,-6.852408090259683,-8.532827449562873,-0.7493926420582571,-10.170055019353123,-2.4939139533535313,-18.434198489251774,-7.979645863722277,-12.128564469618567,-3.771674716462391,-13.615580866728285,-4.931128195771445,-16.21939558686502,-6.991542537510281,-10.487378564503619,-3.542035653974509,-11.946312823216987,-4.486858973002064,-3.48146449824733,4.7589910650297025
timelens2-4b:embedding-128f-vs-controlled-2fps,input-policy-tradeoff,timelens2-4b/embedding-window-local-128f,timelens2-4b/paper-2fps-controlled,320,0.24438766753794453,0.41324888172703117,0.2888045915417483,8.75,-3.7123236643924926,-0.23125000000000018,-2.233721139971138,2.9193115911865988,1.6830140318917373,-3.345565025252533,0.5014351967476927,-0.522584036298241,-3.2067325036075047,0.4480103230103225,-0.616873859714417,3.3515625,2.8213166144200628,14.516862170087965,-6.181676684465921,-1.2164406735867719,-0.36615384615384616,-0.09177215189873418,-6.521213849304369,2.089325036582419,-0.44744778610304,6.332938974005859,-1.5860828745031657,5.031262832134973,-7.854506661238554,1.3186474544677746,-3.2702601988758926,4.265194612908777,-4.3085834630466975,3.2099399374284747,-7.388852073207723,0.9911806511659534,-2.738507867321756,3.7695475521142616,-4.004798659685762,2.8328214660109072,-0.9857973609497998,7.586276040421831
qwen3-vl-4b:controlled-vs-official-2fps,prompt-ablation,qwen3-vl-4b/paper-2fps-controlled,qwen3-vl-4b/paper-2fps-official,320,1.1704265974522414,1.1704265974522414,1.0,2.5,-0.351452790901547,0.5249999999999999,-17.34353673287498,1.0417542526917565,-4.444155790127567,-6.767712220377668,3.739069957819961,0.6393862696798287,-2.302837940246029,3.0374599358974397,1.707129424148313,2.014155982905983,0.6230529595015576,4.702564026734484,-3.142617215715969,2.3528178930657693,0.17140153222172153,0.9400678035037596,-22.387915229542738,-12.141183977598892,-1.965863922402383,4.131165269093737,-7.617805106909299,-1.2420116479114944,-11.980585678743065,-1.4637157151618134,0.9418127071003491,6.64556230908693,-2.559017257153111,3.9019555215808226,-7.020355751335708,2.55294102730609,0.6929539762149719,5.4541071531108685,-1.1439856800390602,4.6358813917450306,0.611577383536403,3.6888486599134747
